date,mealType,foodName,kcal,servingUnit,servingAmount,kcalPerServing,quantity,,,,,,,,,,,,,,,,,
2/24/2026,breakfast,1% Milk,,ml,240,120,280,,,,,,,,,,,,,,,,,
2/24/2026,breakfast,Trader Joe‘s  Waffle,,Piece,2,250,1,,,,,,,,,,,,,,,,,
2/24/2026,lunch,Kefir Yogurt,,ml,240,110,110,,,,,,,,,,,,,,,,,
2/24/2026,lunch,Mango,,g,100,60,100,,,,,,,,,,,,,,,,,
2/24/2026,lunch,Egg,,Piece,1,71,1,,,,,,,,,,,,,,,,,
2/24/2026,lunch,坚果,,g,32,170,10,,,,,,,,,,,,,,,,,
2/24/2026,dinner,杏鲍菇,,g,100,35,150,,,,,,,,,,,,,,,,,
2/24/2026,dinner,Egg,,Piece,1,71,1,,,,,,,,,,,,,,,,,
2/24/2026,dinner,海鲈鱼,100,,,,,,,,,,,,,,,,,,,,,
2/24/2026,dinner,Avacado Oil,,g,14,130,10,,,,,,,,,,,,,,,,,
2/24/2026,dinner,杂粮饭,,g,100,362,40,,,,,,,,,,,,,,,,,
2/24/2026,dinner,Blueberry,,g,100,57,100,,,,,,,,,,,,,,,,,
2/24/2026,snack,AD钙奶,,Bottle,1,80,1,,,,,,,,,,,,,,,,,
2/24/2026,snack,呀Potato,250,,,,,,,,,,,,,,,,,,,,,
2/25/2026,breakfast,1% Milk,,ml,240,120,280,,,,,,,,,,,,,,,,,
2/25/2026,breakfast,Trader Joe‘s  Waffle,,Piece,2,250,1,,,,,,,,,,,,,,,,,
2/25/2026,lunch,Ciabatta,,g,57,110,62,,,,,,,,,,,,,,,,,
2/25/2026,lunch,Olive Oil,,g,15,124,5,,,,,,,,,,,,,,,,,
2/25/2026,lunch,Breakfast Chicken Sausage,,Piece,3,80,3,,,,,,,,,,,,,,,,,
2/25/2026,snack,椰枣,40,,,,,,,,,,,,,,,,,,,,,
2/25/2026,dinner,Flour,,g,30,110,42,,,,,,,,,,,,,,,,,
2/25/2026,dinner,Tofu (Firm),,g,85,80,150,,,,,,,,,,,,,,,,,
2/25/2026,dinner,Pork Shoulder Butt,,g,100,250,60,,,,,,,,,,,,,,,,,
2/25/2026,dinner,Avacado Oil,,g,14,130,5,,,,,,,,,,,,,,,,,
2/25/2026,dinner,白菜,,g,100,17,250,,,,,,,,,,,,,,,,,
2/25/2026,dinner,Mushroom,,g,100,22,80,,,,,,,,,,,,,,,,,
2/25/2026,dinner,Coconut Water,,Bottle,1,110,0.5,,,,,,,,,,,,,,,,,
2/25/2026,dinner,零食,54,,,,,,,,,,,,,,,,,,,,,
2/26/2026,breakfast,1% Milk,,ml,240,120,285,,,,,,,,,,,,,,,,,
2/26/2026,breakfast,Thin-sliced Bread,,Piece,1,60,0.7,,,,,,,,,,,,,,,,,
2/26/2026,breakfast,Trader Joe‘s Peanut Butter,,g,32,190,10,,,,,,,,,,,,,,,,,
2/26/2026,lunch,Kefir Yogurt,,ml,240,110,110,,,,,,,,,,,,,,,,,
2/26/2026,lunch,Mango,,g,100,60,100,,,,,,,,,,,,,,,,,
2/26/2026,lunch,Breakfast Chicken Sausage,,Piece,3,80,3,,,,,,,,,,,,,,,,,
2/26/2026,lunch,坚果,,g,32,170,11.4,,,,,,,,,,,,,,,,,
2/26/2026,snack,Trader Joe‘s Brie,,Piece,1,70,1,,,,,,,,,,,,,,,,,
2/26/2026,dinner,杂粮饭,,g,100,362,40,,,,,,,,,,,,,,,,,
2/26/2026,dinner,Egg,,Piece,1,71,2,,,,,,,,,,,,,,,,,
2/26/2026,dinner,Tomato,,g,100,19,150,,,,,,,,,,,,,,,,,
2/26/2026,dinner,Avacado Oil,,g,14,130,10,,,,,,,,,,,,,,,,,
2/26/2026,dinner,Pork Shoulder Butt,,g,100,250,100,,,,,,,,,,,,,,,,,
2/26/2026,dinner,Celery,,g,100,16,150,,,,,,,,,,,,,,,,,
2/26/2026,dinner,Blueberry,,g,100,57,100,,,,,,,,,,,,,,,,,
2/26/2026,snack,椰枣,40,,,,,,,,,,,,,,,,,,,,,
2/26/2026,snack,零食,54,,,,,,,,,,,,,,,,,,,,,
2/27/2026,breakfast,1% Milk,,ml,240,120,285,,,,,,,,,,,,,,,,,
2/27/2026,breakfast,Corn,,g,100,96,80,,,,,,,,,,,,,,,,,
2/27/2026,lunch,Kefir Yogurt,,ml,240,110,100,,,,,,,,,,,,,,,,,
2/27/2026,lunch,黄桃罐头,,g,124,60,140,,,,,,,,,,,,,,,,,
2/27/2026,lunch,Corn,,g,100,96,80,,,,,,,,,,,,,,,,,
2/27/2026,dinner,Flour,,g,30,110,100,,,,,,,,,,,,,,,,,
2/27/2026,dinner,85%-Ground Pork,,g,100,250,80,,,,,,,,,,,,,,,,,
2/27/2026,dinner,Mushroom,,g,100,22,50,,,,,,,,,,,,,,,,,
2/27/2026,dinner,Winter Melon,,g,100,10,100,,,,,,,,,,,,,,,,,
2/27/2026,dinner,韭菜,,g,100,29,100,,,,,,,,,,,,,,,,,
2/27/2026,dinner,Avacado Oil,,g,14,130,5,,,,,,,,,,,,,,,,,
2/27/2026,dinner,Blueberry,,g,100,57,100,,,,,,,,,,,,,,,,,
2/28/2026,breakfast,豆浆,80,,,,,,,,,,,,,,,,,,,,,
2/28/2026,lunch,铁锅炖大鹅,1300,,,,,,,,,,,,,,,,,,,,,
2/28/2026,dinner,牛肉面,560,,,,,,,,,,,,,,,,,,,,,
2/28/2026,dinner,AD钙奶,,Bottle,1,80,1,,,,,,,,,,,,,,,,,
2/28/2026,dinner,Trader Joe‘s Roast Beef,,g,56,80,100,,,,,,,,,,,,,,,,,
2/28/2026,dinner,青菜,,g,100,15,100,,,,,,,,,,,,,,,,,
2/28/2026,dinner,黑芝麻mochi,160,,,,,,,,,,,,,,,,,,,,,
3/1/2026,breakfast,1% Milk,,ml,240,120,285,,,,,,,,,,,,,,,,,
3/1/2026,lunch,韩餐,1000,,,,,,,,,,,,,,,,,,,,,
3/1/2026,dinner,Banana,,g,100,93,114,,,,,,,,,,,,,,,,,
3/1/2026,dinner,Apple,,g,100,52,82,,,,,,,,,,,,,,,,,
3/1/2026,dinner,Blueberry,,g,100,57,80,,,,,,,,,,,,,,,,,
3/1/2026,dinner,Kefir Yogurt,,ml,240,110,50,,,,,,,,,,,,,,,,,
3/1/2026,dinner,Grape,,g,100,69,60,,,,,,,,,,,,,,,,,
3/2/2026,breakfast,1% Milk,,ml,240,120,225,,,,,,,,,,,,,,,,,
3/2/2026,breakfast,Corn,,g,100,96,80,,,,,,,,,,,,,,,,,
3/2/2026,breakfast,Egg,,Piece,1,71,1,,,,,,,,,,,,,,,,,
3/2/2026,lunch,Kefir Yogurt,,ml,240,110,50,,,,,,,,,,,,,,,,,
3/2/2026,lunch,Kale,,g,85,35,34,,,,,,,,,,,,,,,,,
3/2/2026,lunch,Celery,,g,100,16,70,,,,,,,,,,,,,,,,,
3/2/2026,lunch,Apple,,g,100,52,50,,,,,,,,,,,,,,,,,
3/2/2026,lunch,Mix Berries,,g,140,80,50,,,,,,,,,,,,,,,,,
3/2/2026,lunch,Grape,,g,100,69,50,,,,,,,,,,,,,,,,,
3/2/2026,lunch,Corn,,g,100,96,80,,,,,,,,,,,,,,,,,
3/2/2026,lunch,Breakfast Chicken Sausage,,Piece,3,80,3,,,,,,,,,,,,,,,,,
3/2/2026,dinner,Flour,,g,30,110,65,,,,,,,,,,,,,,,,,
3/2/2026,dinner,Winter Melon,,g,100,10,250,,,,,,,,,,,,,,,,,
3/2/2026,dinner,Prawn,,g,100,48,150,,,,,,,,,,,,,,,,,
3/2/2026,dinner,Avacado Oil,,g,14,130,10,,,,,,,,,,,,,,,,,
3/2/2026,dinner,Tomato,,g,100,19,200,,,,,,,,,,,,,,,,,
3/2/2026,dinner,豆浆,80,,,,,,,,,,,,,,,,,,,,,
3/2/2026,snack,零食,250,,,,,,,,,,,,,,,,,,,,,
3/3/2026,breakfast,1% Milk,,ml,240,120,205,,,,,,,,,,,,,,,,,
3/3/2026,breakfast,Banana,,g,100,93,120,,,,,,,,,,,,,,,,,
3/3/2026,breakfast,Avacado,,g,100,160,80,,,,,,,,,,,,,,,,,
3/3/2026,lunch,Breakfast Chicken Sausage,,Piece,3,80,2,,,,,,,,,,,,,,,,,
3/3/2026,lunch,Ciabatta,,g,57,110,62,,,,,,,,,,,,,,,,,
3/3/2026,lunch,Grape,,g,100,69,100,,,,,,,,,,,,,,,,,
3/3/2026,snack,椰枣,40,,,,,,,,,,,,,,,,,,,,,
3/3/2026,dinner,Beef Short Rib,,g,100,300,100,,,,,,,,,,,,,,,,,
3/3/2026,dinner,Prawn,,g,100,48,180,,,,,,,,,,,,,,,,,
3/3/2026,dinner,海鲈鱼,100,,,,,,,,,,,,,,,,,,,,,
3/3/2026,dinner,Flour,,g,30,110,40,,,,,,,,,,,,,,,,,
3/3/2026,dinner,粉丝,,g,56,180,20,,,,,,,,,,,,,,,,,
3/3/2026,dinner,Mushroom,,g,100,22,150,,,,,,,,,,,,,,,,,
3/3/2026,dinner,Avacado Oil,,g,14,130,10,,,,,,,,,,,,,,,,,
3/3/2026,dinner,饮料,120,,,,,,,,,,,,,,,,,,,,,
3/3/2026,dinner,汤圆,210,g,85,220,,,,,,,,,,,,,,,,,,
3/4/2026,breakfast,1% Milk,,ml,240,120,285,,,,,,,,,,,,,,,,,
3/4/2026,breakfast,Trader Joe‘s  Waffle,,Piece,2,250,1,,,,,,,,,,,,,,,,,
3/4/2026,snack,TJ Waffle Cookie,,Piece,7,150,9,,,,,,,,,,,,,,,,,
3/4/2026,lunch,Avacado,,g,100,160,82,,,,,,,,,,,,,,,,,
3/4/2026,lunch,Banana,,g,100,93,130,,,,,,,,,,,,,,,,,
3/4/2026,lunch,Kefir Yogurt,,ml,240,110,52,,,,,,,,,,,,,,,,,
3/4/2026,lunch,Celery,,g,100,16,50,,,,,,,,,,,,,,,,,
3/4/2026,lunch,Apple,,g,100,52,37,,,,,,,,,,,,,,,,,
3/4/2026,dinner,Chicken Breast,,g,100,105,150,,,,,,,,,,,,,,,,,
3/4/2026,dinner,Potato,,g,100,86,150,,,,,,,,,,,,,,,,,
3/4/2026,dinner,杂粮饭,,g,100,362,40,,,,,,,,,,,,,,,,,
3/4/2026,dinner,Carrot,,g,100,41,40,,,,,,,,,,,,,,,,,
3/4/2026,dinner,Avacado Oil,,g,14,130,5,,,,,,,,,,,,,,,,,
3/4/2026,dinner,Curry,,Piece,1,90,1,,,,,,,,,,,,,,,,,
3/4/2026,dinner,Blueberry,,g,100,57,100,,,,,,,,,,,,,,,,,
3/4/2026,dinner,Strawberry,,g,100,32,100,,,,,,,,,,,,,,,,,
3/4/2026,dinner,Grape,,g,100,69,100,,,,,,,,,,,,,,,,,
3/5/2026,breakfast,1% Milk,,ml,240,120,302,,,,,,,,,,,,,,,,,
3/5/2026,breakfast,Trader Joe‘s  Waffle,,Piece,2,250,1,,,,,,,,,,,,,,,,,
3/5/2026,lunch,Avacado,,g,100,160,82,,,,,,,,,,,,,,,,,
3/5/2026,lunch,Kefir Yogurt,,ml,240,110,52,,,,,,,,,,,,,,,,,
3/5/2026,lunch,Kale,,g,85,35,37,,,,,,,,,,,,,,,,,
3/5/2026,lunch,Apple,,g,100,52,37,,,,,,,,,,,,,,,,,
3/5/2026,snack,日本虾片,54,,,,,,,,,,,,,,,,,,,,,
3/5/2026,dinner,牛肉面,560,,,,,,,,,,,,,,,,,,,,,
3/5/2026,dinner,Trader Joe‘s Roast Beef,,g,56,80,100,,,,,,,,,,,,,,,,,
3/5/2026,dinner,青菜,,g,100,15,100,,,,,,,,,,,,,,,,,
3/5/2026,dinner,Blueberry,,g,100,57,100,,,,,,,,,,,,,,,,,
3/5/2026,dinner,Strawberry,,g,100,32,100,,,,,,,,,,,,,,,,,
3/5/2026,dinner,Grape,,g,100,69,100,,,,,,,,,,,,,,,,,
3/5/2026,snack,黑芝麻mochi,80,,,,,,,,,,,,,,,,,,,,,
3/5/2026,snack,TJ Waffle Cookie,,Piece,7,150,14,,,,,,,,,,,,,,,,,
3/5/2026,snack,薯片,210,,,,,,,,,,,,,,,,,,,,,
3/6/2026,breakfast,1% Milk,,ml,240,120,280,,,,,,,,,,,,,,,,,
3/6/2026,lunch,Avacado,,g,100,160,82,,,,,,,,,,,,,,,,,
3/6/2026,lunch,Kefir Yogurt,,ml,240,110,50,,,,,,,,,,,,,,,,,
3/6/2026,lunch,Kale,,g,85,35,37,,,,,,,,,,,,,,,,,
3/6/2026,lunch,Banana,,g,100,93,124,,,,,,,,,,,,,,,,,
3/6/2026,snack,日本虾片,54,,,,,,,,,,,,,,,,,,,,,
3/6/2026,dinner,牛排,295,,,,,,,,,,,,,,,,,,,,,
3/6/2026,dinner,Corn,,g,100,96,160,,,,,,,,,,,,,,,,,
3/6/2026,dinner,Winter Melon,,g,100,10,200,,,,,,,,,,,,,,,,,
3/6/2026,dinner,Avacado Oil,,g,14,130,5,,,,,,,,,,,,,,,,,
3/6/2026,dinner,Strawberry,,g,100,32,100,,,,,,,,,,,,,,,,,
3/6/2026,dinner,Grape,,g,100,69,100,,,,,,,,,,,,,,,,,
3/6/2026,dinner,Trader Joe‘s Brie,,Piece,1,70,1,,,,,,,,,,,,,,,,,
3/6/2026,dinner,坚果,,g,32,170,15,,,,,,,,,,,,,,,,,
3/6/2026,dinner,Coconut Water,,Bottle,1,110,0.5,,,,,,,,,,,,,,,,,
3/5/2026,snack,薯片,210,,,,,,,,,,,,,,,,,,,,,
3/7/2026,breakfast,鲤鱼门,800,,,,,,,,,,,,,,,,,,,,,
3/7/2026,dinner,Flour,,g,30,110,40,,,,,,,,,,,,,,,,,
3/7/2026,dinner,肉酱,,g,100,266,100,,,,,,,,,,,,,,,,,
3/7/2026,dinner,Green Bean,,g,100,31,150,,,,,,,,,,,,,,,,,
3/7/2026,dinner,Potato,,g,100,86,120,,,,,,,,,,,,,,,,,
3/7/2026,dinner,Carrot,,g,100,41,100,,,,,,,,,,,,,,,,,
3/7/2026,dinner,Tofu (Firm),,g,85,80,150,,,,,,,,,,,,,,,,,
3/7/2026,snack,Banana,,g,100,93,60,,,,,,,,,,,,,,,,,
3/7/2026,snack,Avacado,,g,100,160,40,,,,,,,,,,,,,,,,,
3/7/2026,snack,1% Milk,,ml,240,120,250,,,,,,,,,,,,,,,,,
3/8/2026,breakfast,Tadaima,580,,,,,,,,,,,,,,,,,,,,,
3/8/2026,dinner,辛拉面,,Piece,1,550,1,,,,,,,,,,,,,,,,,
3/8/2026,dinner,Egg,,Piece,1,71,1,,,,,,,,,,,,,,,,,
3/8/2026,dinner,Trader Joe‘s Brie,,Piece,1,70,1,,,,,,,,,,,,,,,,,
3/8/2026,dinner,Mix Berries,,g,140,80,40,,,,,,,,,,,,,,,,,
3/8/2026,dinner,Kale,,g,85,35,30,,,,,,,,,,,,,,,,,
3/9/2026,breakfast,1% Milk,,ml,240,120,294,,,,,,,,,,,,,,,,,
3/9/2026,breakfast,Banana,,g,100,93,127,,,,,,,,,,,,,,,,,
3/9/2026,breakfast,Avacado,,g,100,160,60,,,,,,,,,,,,,,,,,
3/9/2026,breakfast,Kale,,g,85,35,30,,,,,,,,,,,,,,,,,
3/9/2026,lunch,Ciabatta,,g,57,110,62,,,,,,,,,,,,,,,,,
3/9/2026,lunch,Breakfast Chicken Sausage,,Piece,3,80,3,,,,,,,,,,,,,,,,,
3/9/2026,lunch,Olive Oil,,g,15,124,8,,,,,,,,,,,,,,,,,
3/9/2026,dinner,Flour,,g,30,110,40,,,,,,,,,,,,,,,,,
3/9/2026,dinner,肉酱,,g,100,266,100,,,,,,,,,,,,,,,,,
3/9/2026,dinner,Green Bean,,g,100,31,150,,,,,,,,,,,,,,,,,
3/9/2026,dinner,Potato,,g,100,86,100,,,,,,,,,,,,,,,,,
3/9/2026,dinner,Carrot,,g,100,41,100,,,,,,,,,,,,,,,,,
3/9/2026,dinner,Tofu (Firm),,g,85,80,100,,,,,,,,,,,,,,,,,
3/9/2026,dinner,Blueberry,,g,100,57,100,,,,,,,,,,,,,,,,,
3/9/2026,dinner,Mango,,g,100,60,120,,,,,,,,,,,,,,,,,
3/10/2026,breakfast,1% Milk,,ml,240,120,294,,,,,,,,,,,,,,,,,
3/10/2026,lunch,Banana,,g,100,93,92,,,,,,,,,,,,,,,,,
3/10/2026,lunch,Kale,,g,85,35,50,,,,,,,,,,,,,,,,,
3/10/2026,lunch,Mix Berries,,g,140,80,30,,,,,,,,,,,,,,,,,
3/10/2026,lunch,Apple,,g,100,52,40,,,,,,,,,,,,,,,,,
3/10/2026,lunch,Kefir Yogurt,,ml,240,110,50,,,,,,,,,,,,,,,,,
3/10/2026,snack,日本虾片,54,,,,,,,,,,,,,,,,,,,,,
3/10/2026,dinner,杂粮饭,,g,100,362,40,,,,,,,,,,,,,,,,,
3/10/2026,dinner,Beef Flap Steak,,g,100,200,100,,,,,,,,,,,,,,,,,
3/10/2026,dinner,Celery,,g,100,16,150,,,,,,,,,,,,,,,,,
3/10/2026,dinner,Tomato,,g,100,19,150,,,,,,,,,,,,,,,,,
3/10/2026,dinner,Egg,,Piece,1,71,1.5,,,,,,,,,,,,,,,,,
3/10/2026,dinner,Avacado Oil,,g,14,130,15,,,,,,,,,,,,,,,,,
3/10/2026,dinner,柚子,,g,100,40,100,,,,,,,,,,,,,,,,,
3/11/2026,breakfast,1% Milk,,ml,240,120,230,,,,,,,,,,,,,,,,,
3/11/2026,breakfast,Thin-sliced Bread,,#N/A,#N/A,#N/A,0.75,,,,,,,,,,,,,,,,,
3/11/2026,breakfast,Trader Joe‘s Peanut Butter,,g,32,190,14,,,,,,,,,,,,,,,,,
3/11/2026,lunch,Banana,,g,100,93,92,,,,,,,,,,,,,,,,,
3/11/2026,lunch,Kale,,g,85,35,50,,,,,,,,,,,,,,,,,
3/11/2026,lunch,Mix Berries,,g,140,80,30,,,,,,,,,,,,,,,,,
3/11/2026,lunch,Apple,,g,100,52,40,,,,,,,,,,,,,,,,,
3/11/2026,lunch,Kefir Yogurt,,ml,240,110,50,,,,,,,,,,,,,,,,,
3/11/2026,snack,日本虾片,54,,,,,,,,,,,,,,,,,,,,,
3/11/2026,dinner,Flour,,g,30,110,70,,,,,,,,,,,,,,,,,
3/11/2026,dinner,鸡腿,210,,,,,,,,,,,,,,,,,,,,,
3/11/2026,dinner,Celery,,g,100,16,250,,,,,,,,,,,,,,,,,
3/11/2026,dinner,Egg,,Piece,1,71,0.5,,,,,,,,,,,,,,,,,
3/11/2026,dinner,Avacado Oil,,g,14,130,8,,,,,,,,,,,,,,,,,
3/11/2026,dinner,豆浆,80,,,,,,,,,,,,,,,,,,,,,
3/11/2026,dinner,Macha Mochi,80,,,,,,,,,,,,,,,,,,,,,
3/12/2026,breakfast,1% Milk,,ml,240,120,320,,,,,,,,,,,,,,,,,
3/12/2026,breakfast,Thin-sliced Bread,60,,,,,,,,,,,,,,,,,,,,,
3/12/2026,breakfast,Trader Joe‘s Peanut Butter,,g,32,190,11.5,,,,,,,,,,,,,,,,,
3/12/2026,lunch,Banana,,g,100,93,92,,,,,,,,,,,,,,,,,
3/12/2026,lunch,Kale,,g,85,35,50,,,,,,,,,,,,,,,,,
3/12/2026,lunch,Mix Berries,,g,140,80,30,,,,,,,,,,,,,,,,,
3/12/2026,lunch,Apple,,g,100,52,40,,,,,,,,,,,,,,,,,
3/12/2026,lunch,Kefir Yogurt,,ml,240,110,50,,,,,,,,,,,,,,,,,
3/12/2026,snack,日本虾片,54,,,,,,,,,,,,,,,,,,,,,
3/12/2026,dinner,泰国菜,900,,,,,,,,,,,,,,,,,,,,,
3/12/2026,dinner,Rice (Raw),,g,45,160,50,,,,,,,,,,,,,,,,,
3/13/2026,breakfast,1% Milk,,ml,240,120,300,,,,,,,,,,,,,,,,,
3/13/2026,breakfast,Ciabatta,,g,57,110,62,,,,,,,,,,,,,,,,,
3/13/2026,breakfast,老干妈豆腐乳,,g,30,100,10,,,,,,,,,,,,,,,,,
3/13/2026,lunch,Banana,,g,100,93,87,,,,,,,,,,,,,,,,,
3/13/2026,lunch,Kale,,g,85,35,40,,,,,,,,,,,,,,,,,
